Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
4 Bed - 2 Bath ,4,2,989.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/4-bedroom-2-bath-unf,26_west,https://www.americancampus.com/assets/687-26west/floorplans/687_Furnished-4-bed-2-bath-01.png?ext=.png
4 Bed - 4 Bath A,4,4,1054.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/4-bedroom-4-bath-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/687_Furnished-4-bed-4-bath-01.png?ext=.png
4 Bed - 4 Bath B,4,4,$1009.00-$1024.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/4-bedroom-4-bath-hc-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/687_Furnished-4-bed-4-bath-B-HC-01.png?ext=.png
2 Bed - 1 Bath A,2,1,"$1,094.00 - $1,119.00",0,0,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-1-bath-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/687_Furnished-2-bed-1-bath-A-01.png?ext=.png
2 Bed - 1 Bath B Furnished ,2,1,1099.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-1-bath-hc-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/687_Furnished-2-bed-1-bath-B-01.png?ext=.png
2 Bed - 2 Bath Standard Furnished ,2,2,1149.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-2-bath-std-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-2-2-Standard-Furnished-Waitlist-FP-3-13-20-01.png?ext=.png
2 Bed - 2 Bath Deluxe Furnished,2,2,1224.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-2-bath-dlx-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-2-2-Deluxe-Waitlist-FP-2-21-20-01.png?ext=.png
2 Bed - 2 Bath Corner A ,2,2,"$1,199.00 - $1,224.00",0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-2-bath-corner-a-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-2-2-Corner-A-Waitlist-FP-2-21-20-01.png?ext=.png
2 Bed - 2 Bath Corner B,2,2,"$1,199.00-$1,224.00",0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-2-bath-corner-b-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-2-2-Corner-B-Waitlist-FP-3-13-20.png?ext=.png
2 Bed - 2 Bath w/ Study ,2,2,"$1,194.00 - $1,219.00",0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/2-bedroom-2-bath-w-study-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-2-2-w-Study-Furnished-Waitlist-FP-4-1-20-01-(2).png?ext=.png
1 Bed - 1 Bath A ,1,1,$1614.00-$1644.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/1-bedroom-1-bath-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-1-1-Waitlist-FP-2-21-20-01.png?ext=.png
1 Bed - 1 Bath B Furnished,1,1,1639.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/1-bedroom-1-bath-hc-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-1-1-B-Furnished-Waitlist-FP-3-13-20-01.png?ext=.png
1 Bed - 1 Bath SMART Furnished,1,1,,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/1-bedroom-1-bath-smart-furn,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-1-1-SMART-Furnished-Waitlist-FP-3-13-20-01.png?ext=.png
1 Bed - 1 Bath SMART Unfurnished,1,1,,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/26-west/floor-plans/1-bedroom-1-bath-smart-unf,26_west,https://www.americancampus.com/assets/687-26west/floorplans/Waitlist%20Floor%20Plans/687-1-1-Smart-Furn-Waitlist-FP-11-25-19-01.png?ext=.png
Leon - 2 Bed - 2 Bath A Loft,2,2,"$1,124",0,0,1,"982 - 1,082",https://www.theblockwestcampus.com//Brochure/Leon---2-Bed---2-Bath-A-Loft?siteId=6511284&fId=9218479,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760628/640x640/67760628.png
25th E - 2 Bed - 2 Bath E3,2,2,"$1,134",0,0,1,"1,100 - 1,142",https://www.theblockwestcampus.com//Brochure/25th-E---2-Bed---2-Bath-E3?siteId=6511284&fId=9218423,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760021/640x640/67760021.png
28th - 2 Bed - 2 Bath B,2,2,"$549 - $1,129",0,0,26,"1,066",https://www.theblockwestcampus.com//Brochure/28th---2-Bed---2-Bath-B?siteId=6511284&fId=9218408,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759885/640x640/67759885.png
25th E - 2 Bed - 2 Bath A,2,2,$799 - $984,0,0,2,820,https://www.theblockwestcampus.com//Brochure/25th-E---2-Bed---2-Bath-A?siteId=6511284&fId=9218420,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759976/640x640/67759976.png
